,destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
13480,Idaho,2019,1764327,1478739,200377,78730,6481,Missouri,404
13481,Illinois,2019,12536539,11014059,1274091,190627,57762,Missouri,13389
13482,Indiana,2019,6656971,5735703,743092,151443,26733,Missouri,2373
13483,Iowa,2019,3121385,2686528,348082,72651,14124,Missouri,3461
13484,Kansas,2019,2879518,2426897,345003,94648,12970,Missouri,27065
13485,Kentucky,2019,4421512,3792437,517128,100057,11890,Missouri,1498
13486,Louisiana,2019,4595111,4018892,491341,67640,17238,Missouri,920
13487,Maine,2019,1331656,1162558,128105,36129,4864,Missouri,67
13488,Maryland,2019,5979602,5224363,569388,141766,44085,Missouri,263
13489,Massachusetts,2019,6828110,5975607,644535,144079,63889,Missouri,662
13490,Michigan,2019,9880758,8606216,1104190,132008,38344,Missouri,2800
13491,Minnesota,2019,5575235,4836702,606228,106920,25385,Missouri,1568
13492,Mississippi,2019,2943737,2583691,291479,61683,6884,Missouri,528
13493,Missouri,2019,6069697,5200465,694303,152345,22584,Missouri,0
13494,Montana,2019,1056994,882156,129779,40862,4197,Missouri,487
13495,Nebraska,2019,1910711,1622237,234322,46064,8088,Missouri,1679
13496,Nevada,2019,3048602,2510591,384676,132950,20385,Missouri,995
13497,New Hampshire,2019,1350155,1173997,119189,50288,6681,Missouri,0
13498,New Jersey,2019,8791672,7888800,689445,149260,64167,Missouri,296
13499,New Mexico,2019,2073628,1816418,189705,55545,11960,Missouri,372
13500,New York,2019,19240920,17213380,1638372,254806,134362,Missouri,1054
13501,North Carolina,2019,10371906,8834381,1170200,315215,52110,Missouri,2982
13502,North Dakota,2019,750501,615450,94413,36668,3970,Missouri,1050
13503,Ohio,2019,11556037,9891733,1415185,205542,43577,Missouri,3289
13504,Oklahoma,2019,3907258,3282746,509137,101844,13531,Missouri,4166
13505,Oregon,2019,4178578,3527178,501680,129921,19799,Missouri,947
13506,Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Missouri,1760
13507,Rhode Island,2019,1050602,930406,80686,34984,4526,Missouri,135
13508,South Carolina,2019,5092727,4414770,478892,176008,23057,Missouri,656
13509,South Dakota,2019,872708,739009,102133,26934,4632,Missouri,445
13510,Tennessee,2019,6754461,5782145,755183,196765,20368,Missouri,2492
13511,Texas,2019,28642658,24347958,3517954,559661,217085,Missouri,8085
13512,Utah,2019,3162102,2661654,389057,95608,15783,Missouri,995
13513,Vermont,2019,617560,536752,57776,21212,1820,Missouri,113
13514,Virginia,2019,8439982,7201805,903735,264855,69587,Missouri,3137
13515,Washington,2019,7527366,6253469,977928,231956,64013,Missouri,1938
13516,West Virginia,2019,1773280,1563611,164739,39548,5382,Missouri,361
13517,Wisconsin,2019,5760481,5001140,634732,107973,16636,Missouri,2796
13518,Wyoming,2019,572884,473128,68127,30247,1382,Missouri,582
13519,Puerto Rico,2019,3175835,2968876,169733,31144,6082,Missouri,0
13520,Alabama,2010,4729509,3987155,620465,108723,13166,Montana,229
13521,Alaska,2010,702974,565031,95878,36326,5739,Montana,616
13522,Arizona,2010,6332786,5069002,1001991,222725,39068,Montana,1343
13523,Arkansas,2010,2888304,2387806,412997,79127,8374,Montana,85
13524,California,2010,36907897,30790221,5413287,444749,259640,Montana,3009
13525,Colorado,2010,4988190,4042039,725413,186366,34372,Montana,2042
13526,Connecticut,2010,3541146,3100742,342904,77333,20167,Montana,0
13527,Delaware,2010,889812,764640,90001,30759,4412,Montana,73
13528,District of Columbia ,2010,596747,474676,63766,51244,7061,Montana,0
13529,Florida,2010,18647600,15554008,2459530,482889,151173,Montana,338
13530,Georgia,2010,9587237,8015409,1278548,249459,43821,Montana,52
13531,Hawaii,2010,1346274,1140572,134315,53581,17806,Montana,150
13532,Idaho,2010,1550967,1279856,209272,55638,6201,Montana,1509
13533,Illinois,2010,12680126,11009852,1404525,203959,61790,Montana,928
13534,Indiana,2010,6414862,5431015,833086,127353,23408,Montana,164
13535,Iowa,2010,3013053,2553210,375650,72557,11636,Montana,836
13536,Kansas,2010,2820894,2341401,372161,95059,12273,Montana,289
13537,Kentucky,2010,4296639,3638259,519887,118443,20050,Montana,0
13538,Louisiana,2010,4483529,3826390,547291,97889,11959,Montana,40
13539,Maine,2010,1313902,1136780,146735,27758,2629,Montana,275
13540,Maryland,2010,5716785,4917637,588879,164484,45785,Montana,86
13541,Massachusetts,2010,6489250,5583650,706624,140162,58814,Montana,388
13542,Michigan,2010,9762127,8310098,1291901,116149,43979,Montana,312
13543,Minnesota,2010,5244256,4480630,647946,89872,25808,Montana,1020
13544,Mississippi,2010,2931228,2510729,340266,72321,7912,Montana,314
13545,Missouri,2010,5920858,4968921,786726,145226,19985,Montana,220
13546,Montana,2010,978507,821709,117752,35630,3416,Montana,0
13547,Nebraska,2010,1802697,1497138,247005,51290,7264,Montana,112
13548,Nevada,2010,2667364,2030410,517261,102677,17016,Montana,770
13549,New Hampshire,2010,1303865,1118359,141213,39367,4926,Montana,486
13550,New Jersey,2010,8709933,7841470,684482,127369,56612,Montana,122
13551,New Mexico,2010,2039549,1735950,220663,73605,9331,Montana,1003
13552,New York,2010,19171916,16976205,1779540,269427,146744,Montana,237
13553,North Carolina,2010,9443000,7982017,1141001,263256,56726,Montana,230
13554,North Dakota,2010,665654,556222,75720,30100,3612,Montana,1236
13555,Ohio,2010,11405101,9745227,1453401,172633,33840,Montana,460
13556,Oklahoma,2010,3716264,3065497,528824,106511,15432,Montana,448
13557,Oregon,2010,3794008,3110896,545841,116700,20571,Montana,3386
13558,Pennsylvania,2010,12577555,11053022,1239199,235580,49754,Montana,339
13559,Rhode Island,2010,1042240,900283,99603,32059,10295,Montana,0
13560,South Carolina,2010,4577399,3870879,537961,152441,16118,Montana,0
13561,South Dakota,2010,805616,680993,96805,25777,2041,Montana,560
13562,Tennessee,2010,6282706,5299496,801355,159778,22077,Montana,290
13563,Texas,2010,24899075,20500156,3740344,486558,172017,Montana,1027
13564,Utah,2010,2724064,2240636,388410,77780,17238,Montana,1929
13565,Vermont,2010,619363,534975,59032,22529,2827,Montana,236
13566,Virginia,2010,7930773,6752310,870491,259507,48465,Montana,866
13567,Washington,2010,6661321,5464985,946923,191784,57629,Montana,5094
13568,West Virginia,2010,1833535,1625125,166168,39609,2633,Montana,39
13569,Wisconsin,2010,5623196,4824045,691592,93065,14494,Montana,154
13570,Wyoming,2010,556954,444614,82255,28046,2039,Montana,2528
13571,Puerto Rico,2010,3676493,3392179,247593,31732,4989,Montana,0
13572,Alabama,2011,4745278,4024442,588293,117726,14817,Montana,317
13573,Alaska,2011,711962,571857,100280,35084,4741,Montana,248
13574,Arizona,2011,6402301,5107496,1028366,222877,43562,Montana,2431
13575,Arkansas,2011,2906632,2421746,405831,69845,9210,Montana,713
13576,California,2011,37222678,31213310,5271168,468428,269772,Montana,2599
13577,Colorado,2011,5048443,4048042,763233,202124,35044,Montana,4079
13578,Connecticut,2011,3548667,3139496,316883,71502,20786,Montana,206
13579,Delaware,2011,897187,775414,83156,33912,4705,Montana,0
13580,District of Columbia ,2011,611608,489659,66519,48066,7364,Montana,38
13581,Florida,2011,18863948,15742168,2454255,498597,168928,Montana,559
13582,Georgia,2011,9699859,8095407,1289450,271077,43925,Montana,246
13583,Hawaii,2011,1357806,1160948,122727,57542,16589,Montana,85
13584,Idaho,2011,1559637,1284530,208434,60336,6337,Montana,1602
13585,Illinois,2011,12718402,11076528,1353853,216204,71817,Montana,304
13586,Indiana,2011,6437155,5478683,809158,127874,21440,Montana,34
13587,Iowa,2011,3027718,2573313,370554,70405,13446,Montana,370
13588,Kansas,2011,2833584,2372033,362782,83640,15129,Montana,270
13589,Kentucky,2011,4316297,3686232,505741,110031,14293,Montana,216
13590,Louisiana,2011,4518629,3865118,538691,99138,15682,Montana,278
13591,Maine,2011,1315833,1120364,157102,33818,4549,Montana,10
13592,Maryland,2011,5759087,5008452,553895,153979,42761,Montana,73
13593,Massachusetts,2011,6515057,5658768,656441,139830,60018,Montana,596
13594,Michigan,2011,9766574,8340767,1242917,139158,43732,Montana,84
13595,Minnesota,2011,5277329,4505462,646176,101029,24662,Montana,1457
13596,Mississippi,2011,2943021,2534036,332934,68511,7540,Montana,0
13597,Missouri,2011,5937896,4963040,801046,149439,24371,Montana,845
13598,Montana,2011,987076,828254,122210,33553,3059,Montana,0
13599,Nebraska,2011,1817126,1505191,253269,52070,6596,Montana,64
13600,Nevada,2011,2688336,2084668,480317,110345,13006,Montana,1137
13601,New Hampshire,2011,1305678,1141236,122129,37000,5313,Montana,230
13602,New Jersey,2011,8719952,7825661,693380,140194,60717,Montana,49
13603,New Mexico,2011,2055293,1753413,228218,62130,11532,Montana,544
13604,New York,2011,19248685,17055260,1756105,282209,155111,Montana,391
13605,North Carolina,2011,9539412,8070238,1160510,265291,43373,Montana,563
13606,North Dakota,2011,675161,559906,79837,32510,2908,Montana,1227
13607,Ohio,2011,11418944,9764366,1425709,191778,37091,Montana,101
13608,Oklahoma,2011,3742698,3089041,528498,108878,16281,Montana,803
13609,Oregon,2011,3828714,3128121,549332,127906,23355,Montana,1079
13610,Pennsylvania,2011,12610486,11099077,1224564,234291,52554,Montana,338
13611,Rhode Island,2011,1040022,903786,101689,26769,7778,Montana,0
13612,South Carolina,2011,4624180,3899705,546666,157644,20165,Montana,915
13613,South Dakota,2011,814175,688436,94655,27506,3578,Montana,232
13614,Tennessee,2011,6333466,5342978,794556,170969,24963,Montana,43
13615,Texas,2011,25327104,20984855,3648260,514726,179263,Montana,537
13616,Utah,2011,2769627,2295961,373984,85217,14465,Montana,1241
13617,Vermont,2011,621354,537304,60719,20463,2868,Montana,0
13618,Virginia,2011,7996552,6789620,889751,257130,60051,Montana,617
13619,Washington,2011,6748474,5565069,919925,208507,54973,Montana,2125
13620,West Virginia,2011,1836614,1609110,172262,50068,5174,Montana,60
13621,Wisconsin,2011,5647213,4846550,675623,109439,15601,Montana,143
13622,Wyoming,2011,561389,462808,66648,30651,1282,Montana,1105
13623,Puerto Rico,2011,3669195,3403602,238263,22649,4681,Montana,0
13624,Alabama,2012,4764428,4054260,590326,104600,15242,Montana,101
13625,Alaska,2012,721186,592551,90613,33415,4607,Montana,371
13626,Arizona,2012,6468907,5242674,953789,232457,39987,Montana,1118
13627,Arkansas,2012,2912680,2453347,373046,76948,9339,Montana,258
13628,California,2012,37572738,31777868,5046618,493641,254611,Montana,3060
13629,Colorado,2012,5123944,4131357,751921,205060,35606,Montana,2021
13630,Connecticut,2012,3555319,3114940,334918,80311,25150,Montana,50
13631,Delaware,2012,906576,782216,86003,34757,3600,Montana,0
13632,District of Columbia ,2012,624847,500267,61992,53830,8758,Montana,0
13633,Florida,2012,19114620,16032617,2380288,537148,164567,Montana,1758
13634,Georgia,2012,9796547,8231384,1236302,277466,51395,Montana,251
13635,Hawaii,2012,1374852,1164145,134827,55145,20735,Montana,131
13636,Idaho,2012,1573036,1296975,210151,59283,6627,Montana,3800
13637,Illinois,2012,12725119,11009321,1441191,208755,65852,Montana,228
13638,Indiana,2012,6457067,5493090,805228,134137,24612,Montana,134
13639,Iowa,2012,3035469,2585979,362938,75760,10792,Montana,452
13640,Kansas,2012,2848708,2361899,381695,88284,16830,Montana,300
13641,Kentucky,2012,4328626,3676472,521511,112787,17856,Montana,0
13642,Louisiana,2012,4545914,3912023,528406,91215,14270,Montana,428
13643,Maine,2012,1315586,1132344,151438,27523,4281,Montana,0
13644,Maryland,2012,5816472,5068457,549973,154983,43059,Montana,0
13645,Massachusetts,2012,6580641,5752166,626380,142577,59518,Montana,49
13646,Michigan,2012,9778980,8330990,1268105,133981,45904,Montana,218
13647,Minnesota,2012,5315228,4536303,653012,101042,24871,Montana,1257
13648,Mississippi,2012,2947696,2529377,339807,73500,5012,Montana,166
13649,Missouri,2012,5951913,4965459,801093,162930,22431,Montana,511
13650,Montana,2012,995544,829489,126463,37690,1902,Montana,0
13651,Nebraska,2012,1829420,1540361,237937,43266,7856,Montana,108
13652,Nevada,2012,2725280,2105070,481496,124285,14429,Montana,1086
13653,New Hampshire,2012,1309203,1127376,125118,50484,6225,Montana,0
13654,New Jersey,2012,8772744,7929570,655465,130223,57486,Montana,67
13655,New Mexico,2012,2060595,1769341,226243,54693,10318,Montana,139
13656,New York,2012,19352153,17202134,1723117,270053,156849,Montana,421
13657,North Carolina,2012,9640490,8167830,1149080,273149,50431,Montana,244
13658,North Dakota,2012,689838,563978,84294,38213,3353,Montana,1776
13659,Ohio,2012,11414635,9735390,1440815,196391,42039,Montana,276
13660,Oklahoma,2012,3762311,3107367,531347,108972,14625,Montana,798
13661,Oregon,2012,3857465,3158450,560673,118925,19417,Montana,2192
13662,Pennsylvania,2012,12630082,11107110,1252378,215500,55094,Montana,135
13663,Rhode Island,2012,1040527,899551,101165,33446,6365,Montana,0
13664,South Carolina,2012,4668886,3929626,564350,156705,18205,Montana,93
13665,South Dakota,2012,821669,676014,115606,26051,3998,Montana,248
13666,Tennessee,2012,6378278,5396833,783077,177098,21270,Montana,308
13667,Texas,2012,25711791,21354247,3656070,507752,193722,Montana,1813
13668,Utah,2012,2805440,2324019,373980,87870,19571,Montana,1057
13669,Vermont,2012,620224,532237,61242,24431,2314,Montana,147
13670,Virginia,2012,8085389,6857430,915242,250653,62064,Montana,658
13671,Washington,2012,6815763,5648199,904695,215494,47375,Montana,2919
13672,West Virginia,2012,1837518,1613322,174112,47125,2959,Montana,0
13673,Wisconsin,2012,5660677,4849945,693737,99192,17803,Montana,784
13674,Wyoming,2012,569734,459226,77324,31149,2035,Montana,1901
13675,Puerto Rico,2012,3628402,3366593,238042,20044,3723,Montana,0
13676,Alabama,2013,4781296,4067683,594583,104102,14928,Montana,537
13677,Alaska,2013,725193,583799,99953,34360,7081,Montana,195
13678,Arizona,2013,6543362,5321158,941347,236146,44711,Montana,2087
13679,Arkansas,2013,2923642,2475807,367837,70621,9377,Montana,41
13680,California,2013,37873189,32197933,4898331,485477,291448,Montana,3147
13681,Colorado,2013,5206012,4186643,778520,206543,34306,Montana,2636
13682,Connecticut,2013,3562959,3127421,325895,88351,21292,Montana,60
13683,Delaware,2013,914025,791278,81363,36790,4594,Montana,0
13684,District of Columbia ,2013,636535,509958,68917,46571,11089,Montana,44
13685,Florida,2013,19345059,16199361,2442119,529406,174173,Montana,576
13686,Georgia,2013,9870319,8256209,1279601,278972,55537,Montana,170
13687,Hawaii,2013,1387361,1177733,135860,58083,15685,Montana,0
13688,Idaho,2013,1592596,1317235,205418,61592,8351,Montana,2719
13689,Illinois,2013,12740816,11036387,1411859,223605,68965,Montana,67
13690,Indiana,2013,6492306,5499346,835689,133508,23763,Montana,206
13691,Iowa,2013,3053635,2585189,380270,75650,12526,Montana,0
13692,Kansas,2013,2854869,2386028,363906,89735,15200,Montana,333
13693,Kentucky,2013,4345186,3665604,558412,103207,17963,Montana,0
13694,Louisiana,2013,4568320,3941211,519010,91889,16210,Montana,339
13695,Maine,2013,1315753,1128262,146334,36780,4377,Montana,295
13696,Maryland,2013,5857213,5078020,572131,161525,45537,Montana,0
13697,Massachusetts,2013,6619999,5724592,700613,135150,59644,Montana,0
13698,Michigan,2013,9784094,8296283,1294706,144091,49014,Montana,171
13699,Minnesota,2013,5353441,4585137,636274,104825,27205,Montana,693
13700,Mississippi,2013,2957797,2531410,350982,68588,6817,Montana,105
13701,Missouri,2013,5973448,5015609,779132,159936,18771,Montana,764
13702,Montana,2013,1003013,827494,130187,40035,5297,Montana,0
13703,Nebraska,2013,1842900,1546788,241707,45854,8551,Montana,482
13704,Nevada,2013,2757365,2166730,447480,126583,16572,Montana,1098
13705,New Hampshire,2013,1310978,1128583,131200,44867,6328,Montana,285
13706,New Jersey,2013,8803679,7941559,667248,136907,57965,Montana,81
13707,New Mexico,2013,2059689,1764969,224508,56808,13404,Montana,49
13708,New York,2013,19431954,17297785,1715158,272066,146945,Montana,0
13709,North Carolina,2013,9737365,8233641,1176351,275922,51451,Montana,750
13710,North Dakota,2013,714804,593677,78944,38908,3275,Montana,1563
13711,Ohio,2013,11439593,9748676,1458505,185749,46663,Montana,465
13712,Oklahoma,2013,3801521,3131192,545546,109255,15528,Montana,287
13713,Oregon,2013,3888216,3154813,571472,143841,18090,Montana,2889
13714,Pennsylvania,2013,12639493,11113742,1240573,224280,60898,Montana,201
13715,Rhode Island,2013,1040986,905093,94129,34108,7656,Montana,0
13716,South Carolina,2013,4720602,4000306,537062,166047,17187,Montana,0
13717,South Dakota,2013,832703,691659,108713,30042,2289,Montana,344
13718,Tennessee,2013,6419226,5429144,779329,186525,24228,Montana,40
13719,Texas,2013,26087349,21658382,3695565,548034,185368,Montana,649
13720,Utah,2013,2854667,2361079,377528,97869,18191,Montana,1080
13721,Vermont,2013,621256,542002,53684,23180,2390,Montana,345
13722,Virginia,2013,8163664,6874626,962359,266348,60331,Montana,404
13723,Washington,2013,6888552,5700703,927367,208215,52267,Montana,3134
13724,West Virginia,2013,1837863,1621269,161679,51957,2958,Montana,64
13725,Wisconsin,2013,5681024,4872672,688588,100846,18918,Montana,583
13726,Wyoming,2013,575933,469511,76905,27584,1933,Montana,1612
13727,Puerto Rico,2013,3579220,3329074,221047,24652,4447,Montana,0
13728,Alabama,2014,4791931,4081522,589211,107919,13279,Montana,0
13729,Alaska,2014,725206,585916,97358,37842,4090,Montana,637
13730,Arizona,2014,6651964,5431241,922129,249730,48864,Montana,1399
13731,Arkansas,2014,2931123,2464189,383087,74741,9106,Montana,232
13732,California,2014,38340324,32849251,4659084,513968,318021,Montana,2862
13733,Colorado,2014,5293943,4263998,777699,218728,33518,Montana,2733
13734,Connecticut,2014,3558915,3111779,334207,82746,30183,Montana,0
13735,Delaware,2014,924770,810905,77246,32166,4453,Montana,0
13736,District of Columbia ,2014,648586,513634,67286,56234,11432,Montana,84
13737,Florida,2014,19683763,16504838,2436619,546501,195805,Montana,161
13738,Georgia,2014,9970167,8406436,1238139,274095,51497,Montana,189
13739,Hawaii,2014,1401004,1198766,131974,58144,12120,Montana,125
13740,Idaho,2014,1613068,1335689,207055,64633,5691,Montana,3531
13741,Illinois,2014,12730206,11021611,1430902,209536,68157,Montana,1186
13742,Indiana,2014,6516181,5540754,810518,139846,25063,Montana,246
13743,Iowa,2014,3067872,2594781,379518,79194,14379,Montana,29
13744,Kansas,2014,2866584,2378716,376239,96467,15162,Montana,604
13745,Kentucky,2014,4357819,3663490,575429,104975,13925,Montana,0
13746,Louisiana,2014,4593505,3970442,511702,97814,13547,Montana,396
13747,Maine,2014,1317638,1138397,134611,39065,5565,Montana,64
13748,Maryland,2014,5911235,5091903,615601,156787,46944,Montana,39
13749,Massachusetts,2014,6674907,5784744,672510,146622,71031,Montana,297
13750,Michigan,2014,9795659,8336037,1261495,149991,48136,Montana,289
13751,Minnesota,2014,5385219,4612655,635880,106783,29901,Montana,965
13752,Mississippi,2014,2957658,2554296,321236,73927,8199,Montana,457
13753,Missouri,2014,5992195,5042396,776519,153320,19960,Montana,658
13754,Montana,2014,1012169,845142,126508,37561,2958,Montana,0
13755,Nebraska,2014,1855356,1541744,252232,52200,9180,Montana,567
13756,Nevada,2014,2806170,2235861,426512,130390,13407,Montana,981
13757,New Hampshire,2014,1314735,1134514,133298,41393,5530,Montana,0
13758,New Jersey,2014,8840346,7961796,686056,128911,63583,Montana,327
13759,New Mexico,2014,2060189,1770053,212456,68917,8763,Montana,691
13760,New York,2014,19528220,17418181,1693064,258571,158404,Montana,394
13761,North Carolina,2014,9832152,8332705,1166928,286533,45986,Montana,207
13762,North Dakota,2014,729874,602508,85084,39059,3223,Montana,1868
13763,Ohio,2014,11464891,9742065,1484132,196742,41952,Montana,528
13764,Oklahoma,2014,3827288,3148699,550149,111346,17094,Montana,67
13765,Oregon,2014,3927857,3196441,571056,137008,23352,Montana,1800
13766,Pennsylvania,2014,12645888,11103966,1241534,232889,67499,Montana,847
13767,Rhode Island,2014,1045791,906936,98869,32621,7365,Montana,0
13768,South Carolina,2014,4780659,4046123,542930,171969,19637,Montana,294
13769,South Dakota,2014,842076,701352,109496,28198,3030,Montana,990
13770,Tennessee,2014,6471445,5465071,796577,182130,27667,Montana,260
13771,Texas,2014,26588600,22151594,3681042,538572,217392,Montana,659
13772,Utah,2014,2894001,2407608,374578,90234,21581,Montana,898
13773,Vermont,2014,620898,536915,59850,22635,1498,Montana,413
13774,Virginia,2014,8224054,6891144,995822,262477,74611,Montana,389
13775,Washington,2014,6979369,5757065,934922,220259,67123,Montana,4294
13776,West Virginia,2014,1831414,1617510,162340,47957,3607,Montana,252
13777,Wisconsin,2014,5692727,4868506,688104,117831,18286,Montana,403
13778,Wyoming,2014,577782,475740,74601,25992,1449,Montana,1342
13779,Puerto Rico,2014,3511186,3251389,237197,19771,2829,Montana,0
13780,Alabama,2015,4801599,4113945,561019,114876,11759,Montana,120
13781,Alaska,2015,727862,582909,105769,34696,4488,Montana,461
13782,Arizona,2015,6747595,5536087,910911,253281,47316,Montana,1798
13783,Arkansas,2015,2938341,2440359,407352,81594,9036,Montana,1058
13784,California,2015,38675135,33446324,4377667,514477,336667,Montana,2017
13785,Colorado,2015,5393067,4404058,728077,227445,33487,Montana,910
13786,Connecticut,2015,3554844,3109580,340126,76997,28141,Montana,0
13787,Delaware,2015,935813,800701,86009,44495,4608,Montana,0
13788,District of Columbia ,2015,663006,525024,67188,59905,10889,Montana,0
13789,Florida,2015,20068392,16832374,2438828,584938,212252,Montana,1150
13790,Georgia,2015,10088525,8489689,1259007,283325,56504,Montana,185
13791,Hawaii,2015,1414355,1206066,136796,53742,17751,Montana,98
13792,Idaho,2015,1635366,1333758,218791,73809,9008,Montana,1466
13793,Illinois,2015,12706393,11029917,1399829,209828,66819,Montana,636
13794,Indiana,2015,6540691,5527512,843210,147529,22440,Montana,970
13795,Iowa,2015,3081446,2598298,386465,85937,10746,Montana,123
13796,Kansas,2015,2875640,2405677,360715,91340,17908,Montana,6
13797,Kentucky,2015,4373403,3706705,543811,106918,15969,Montana,0
13798,Louisiana,2015,4612024,4007364,496223,93321,15116,Montana,57
13799,Maine,2015,1317444,1127394,156271,30123,3656,Montana,16
13800,Maryland,2015,5934005,5076791,638788,168894,49532,Montana,148
13801,Massachusetts,2015,6725678,5893936,634359,132642,64741,Montana,30
13802,Michigan,2015,9811416,8394658,1229302,142639,44817,Montana,683
13803,Minnesota,2015,5419822,4618325,661383,108476,31638,Montana,760
13804,Mississippi,2015,2959289,2554660,327854,69351,7424,Montana,248
13805,Missouri,2015,6015580,5056661,777061,159152,22706,Montana,99
13806,Montana,2015,1019646,855861,118200,42760,2825,Montana,0
13807,Nebraska,2015,1869217,1570592,236217,52950,9458,Montana,307
13808,Nevada,2015,2859489,2291842,413831,135999,17817,Montana,1481
13809,New Hampshire,2015,1318121,1134482,122442,53446,7751,Montana,0
13810,New Jersey,2015,8854363,7987859,656570,144074,65860,Montana,0
13811,New Mexico,2015,2060441,1767704,228103,55753,8881,Montana,278
13812,New York,2015,19570171,17506652,1653268,257611,152640,Montana,292
13813,North Carolina,2015,9927547,8376304,1194157,310612,46474,Montana,576
13814,North Dakota,2015,745291,608377,90498,42618,3798,Montana,1214
13815,Ohio,2015,11482142,9719944,1508889,203475,49834,Montana,285
13816,Oklahoma,2015,3864908,3202689,532976,110878,18365,Montana,219
13817,Oregon,2015,3985712,3277453,544776,141162,22321,Montana,3424
13818,Pennsylvania,2015,12662192,11109753,1258572,232683,61184,Montana,259
13819,Rhode Island,2015,1045062,901338,97722,38344,7658,Montana,0
13820,South Carolina,2015,4839984,4106166,543488,170366,19964,Montana,198
13821,South Dakota,2015,848285,702122,116343,26962,2858,Montana,391
13822,Tennessee,2015,6522259,5535963,766524,195923,23849,Montana,135
13823,Texas,2015,27092848,22723345,3594282,553032,222189,Montana,2210
13824,Utah,2015,2947423,2435722,390649,97361,23691,Montana,2115
13825,Vermont,2015,619952,532319,62067,21232,4334,Montana,67
13826,Virginia,2015,8283737,6952362,983569,277715,70091,Montana,27
13827,Washington,2015,7089143,5778806,1017221,230907,62209,Montana,4936
13828,West Virginia,2015,1823753,1610407,167631,42078,3637,Montana,0
13829,Wisconsin,2015,5708201,4891636,690306,106511,19748,Montana,174
13830,Wyoming,2015,579102,474927,65384,35947,2844,Montana,993
13831,Puerto Rico,2015,3443445,3193423,219833,24762,5427,Montana,0
13832,Alabama,2016,4810126,4141850,529994,122220,16062,Montana,294
13833,Alaska,2016,731760,593897,100004,31300,6559,Montana,832
13834,Arizona,2016,6851836,5586753,938077,273257,53749,Montana,2414
13835,Arkansas,2016,2949650,2484705,384811,71083,9051,Montana,36
13836,California,2016,38783436,33594813,4337251,514758,336614,Montana,1272
13837,Colorado,2016,5476928,4466067,754712,223260,32889,Montana,1334
13838,Connecticut,2016,3541758,3116440,323316,75586,26416,Montana,0
13839,Delaware,2016,942073,817779,85147,33400,5747,Montana,94
13840,District of Columbia ,2016,672022,538547,64166,58154,11155,Montana,17
13841,Florida,2016,20401575,17176492,2387227,605018,232838,Montana,677
13842,Georgia,2016,10179860,8514847,1290632,305040,69341,Montana,294
13843,Hawaii,2016,1410258,1217704,117894,57229,17431,Montana,282
13844,Idaho,2016,1663756,1369449,214222,71556,8529,Montana,1425
13845,Illinois,2016,12654142,10996695,1387848,203713,65886,Montana,530
13846,Indiana,2016,6554084,5580090,801425,145782,26787,Montana,0
13847,Iowa,2016,3097283,2622577,383520,78263,12923,Montana,301
13848,Kansas,2016,2870529,2394351,369971,88830,17377,Montana,683
13849,Kentucky,2016,4385213,3698797,553718,113238,19460,Montana,30
13850,Louisiana,2016,4622042,3994321,526380,85371,15970,Montana,606
13851,Maine,2016,1319292,1146220,129892,38590,4590,Montana,26
13852,Maryland,2016,5949566,5140378,606423,158647,44118,Montana,65
13853,Massachusetts,2016,6745441,5866016,657022,149408,72995,Montana,0
13854,Michigan,2016,9813772,8362412,1240633,155874,54853,Montana,1156
13855,Minnesota,2016,5455904,4669227,645164,111307,30206,Montana,541
13856,Mississippi,2016,2951081,2556013,324577,64639,5852,Montana,29
13857,Missouri,2016,6022165,5078669,758791,162809,21896,Montana,0
13858,Montana,2016,1032794,863174,128300,37775,3545,Montana,0
13859,Nebraska,2016,1882987,1573126,248118,51448,10295,Montana,164
13860,Nevada,2016,2907243,2400809,374058,117899,14477,Montana,664
13861,New Hampshire,2016,1322101,1122068,140603,52457,6973,Montana,32
13862,New Jersey,2016,8852286,7934689,703637,144359,69601,Montana,479
13863,New Mexico,2016,2057857,1768040,214411,64802,10604,Montana,170
13864,New York,2016,19526443,17465164,1634487,260723,166069,Montana,132
13865,North Carolina,2016,10032407,8460264,1190972,330896,50275,Montana,139
13866,North Dakota,2016,746271,620891,91010,29655,4715,Montana,1307
13867,Ohio,2016,11481752,9755589,1482286,195396,48481,Montana,617
13868,Oklahoma,2016,3873232,3225478,530770,102000,14984,Montana,481
13869,Oregon,2016,4052221,3307805,577950,139334,27132,Montana,2827
13870,Pennsylvania,2016,12645493,11016361,1308271,252060,68801,Montana,171
13871,Rhode Island,2016,1045691,898574,106725,32800,7592,Montana,84
13872,South Carolina,2016,4903788,4176954,542415,165230,19189,Montana,215
13873,South Dakota,2016,853832,720262,97747,31789,4034,Montana,468
13874,Tennessee,2016,6580953,5644022,742615,170867,23449,Montana,662
13875,Texas,2016,27472626,23105984,3599897,531996,234749,Montana,1974
13876,Utah,2016,3002244,2474308,396018,107083,24835,Montana,1637
13877,Vermont,2016,619387,535268,60744,21262,2113,Montana,0
13878,Virginia,2016,8312297,7008805,961003,264164,78325,Montana,106
13879,Washington,2016,7202119,5924723,958326,257728,61342,Montana,4707
13880,West Virginia,2016,1810709,1582818,176953,47196,3742,Montana,39
13881,Wisconsin,2016,5712104,4876817,696530,118814,19943,Montana,159
