,destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
168,Idaho,2013,1592596,1317235,205418,61592,8351,Alabama,72
169,Illinois,2013,12740816,11036387,1411859,223605,68965,Alabama,2044
170,Indiana,2013,6492306,5499346,835689,133508,23763,Alabama,1235
171,Iowa,2013,3053635,2585189,380270,75650,12526,Alabama,180
172,Kansas,2013,2854869,2386028,363906,89735,15200,Alabama,1074
173,Kentucky,2013,4345186,3665604,558412,103207,17963,Alabama,1418
174,Louisiana,2013,4568320,3941211,519010,91889,16210,Alabama,2683
175,Maine,2013,1315753,1128262,146334,36780,4377,Alabama,13
176,Maryland,2013,5857213,5078020,572131,161525,45537,Alabama,1918
177,Massachusetts,2013,6619999,5724592,700613,135150,59644,Alabama,409
178,Michigan,2013,9784094,8296283,1294706,144091,49014,Alabama,2517
179,Minnesota,2013,5353441,4585137,636274,104825,27205,Alabama,493
180,Mississippi,2013,2957797,2531410,350982,68588,6817,Alabama,7077
181,Missouri,2013,5973448,5015609,779132,159936,18771,Alabama,1004
182,Montana,2013,1003013,827494,130187,40035,5297,Alabama,21
183,Nebraska,2013,1842900,1546788,241707,45854,8551,Alabama,294
184,Nevada,2013,2757365,2166730,447480,126583,16572,Alabama,491
185,New Hampshire,2013,1310978,1128583,131200,44867,6328,Alabama,123
186,New Jersey,2013,8803679,7941559,667248,136907,57965,Alabama,853
187,New Mexico,2013,2059689,1764969,224508,56808,13404,Alabama,63
188,New York,2013,19431954,17297785,1715158,272066,146945,Alabama,1648
189,North Carolina,2013,9737365,8233641,1176351,275922,51451,Alabama,3268
190,North Dakota,2013,714804,593677,78944,38908,3275,Alabama,0
191,Ohio,2013,11439593,9748676,1458505,185749,46663,Alabama,1318
192,Oklahoma,2013,3801521,3131192,545546,109255,15528,Alabama,1024
193,Oregon,2013,3888216,3154813,571472,143841,18090,Alabama,704
194,Pennsylvania,2013,12639493,11113742,1240573,224280,60898,Alabama,720
195,Rhode Island,2013,1040986,905093,94129,34108,7656,Alabama,279
196,South Carolina,2013,4720602,4000306,537062,166047,17187,Alabama,1715
197,South Dakota,2013,832703,691659,108713,30042,2289,Alabama,84
